Wall time,Step,Value
1742679219.1923513,500,-0.45352789759635925
1742679269.9220273,2000,-2.096721887588501
1742679288.2198763,2500,-2.258544445037842
1742679389.4527507,5500,-1.228872537612915
1742679406.0602975,6000,-1.7149399518966675
1742679457.6417677,7500,-0.5617412328720093
1742679474.3732486,8000,-1.4579858779907227
1742679525.897105,9500,-1.6148542165756226
1742679542.6740499,10000,-1.1460092067718506
1742679560.7436981,10500,-3.9065494537353516
1742679594.1003244,11500,-1.3301076889038086
1742679610.8239174,12000,-1.5298542976379395
1742679662.359066,13500,-1.0060315132141113
1742679679.0546558,14000,-1.3785338401794434
1742679782.0997584,17000,-1.306465983390808
1742679833.6302698,18500,-1.308754563331604
1742679850.2126925,19000,-0.8162438273429871
1742679866.8780372,19500,-1.262968897819519
1742679883.4965377,20000,-1.0088855028152466
1742679901.6292396,20500,-0.5488246083259583
1742680019.6530035,24000,-2.993288040161133
1742680036.3238251,24500,-1.4316076040267944
1742680054.4005346,25000,-1.3335062265396118
1742680087.8785758,26000,-1.268772006034851
1742680104.50149,26500,-1.787155270576477
1742680139.1645997,27500,-0.8861848711967468
1742680190.6838646,29000,0.043811649084091187
1742680240.699137,30500,-1.2351415157318115
1742680258.8052669,31000,-1.0617512464523315
1742680275.430707,31500,-0.3867212235927582
1742680292.0776286,32000,-1.7762048244476318
1742680326.7438009,33000,-1.1963038444519043
1742680343.4382381,33500,-0.7128298878669739
1742680360.1273654,34000,-0.9370184540748596
1742680376.7716236,34500,-0.20656801760196686
1742680411.4559875,35500,-0.8252946138381958
1742680428.096648,36000,-0.9412828087806702
1742680531.0322912,39000,-1.0623167753219604
1742680564.412101,40000,-0.47127047181129456
1742680581.0731568,40500,-0.8717690706253052
1742680615.902325,41500,-2.2270760536193848
1742680632.638586,42000,-1.3746099472045898
1742680665.914775,43000,-1.1122828722000122
1742680734.0136757,45000,-0.8254235982894897
1742680752.099409,45500,-0.7349697947502136
1742680836.8260245,48000,-1.02919602394104
1742680905.0324686,50000,-0.5297428965568542
1742680921.6594038,50500,-0.4710802137851715
1742680973.0882754,52000,-3.0299525260925293
1742681024.5740616,53500,-0.47562167048454285
1742681041.3371763,54000,-1.0076563358306885
1742681074.7807357,55000,-0.7664638161659241
1742681161.1563115,57500,-1.1534744501113892
